"player.givenName","player.surname","opponent","confidence_flag","line_10","line_11","line_12","line_13","line_14","line_15","line_16","line_17","line_18","line_19","line_20","line_21","line_22","line_23","line_24","line_25","line_26","line_27","line_28","line_29","line_30","predicted_disposals"
"Cooper","Harvey","Kuwarna","ok",1.93684639392551,2.44398727399583,3.24202812409402,4.53704290398607,6.71820109822214,10.5519475939541,17.6160038940326,31.3128101114993,59.3466572252242,120.07342643668,259.601105847296,600.259049993145,1485.42395586379,3936.42670356352,11176.7658972419,34015.9713804535,111011.120194467,388605.658705087,1459602.04935537,5883701.54770685,25459658.0014391,9.7
"Jake","Bowey","Hawthorn","ok",1.00428442260058,1.00767154292006,1.0132592780686,1.02215305499176,1.03584375476101,1.05628795699218,1.08601152496117,1.12826201163163,1.18724880414831,1.26852678366113,1.37960449849694,1.5309007946832,1.73724998589066,2.02029089911279,2.4123156185363,2.96258543131148,3.74790911846956,4.89074450470058,6.59087028649046,9.18208811949925,13.2361706132329,22.4
"Jake","Lever","Hawthorn","ok",1.10551568899178,1.17376802629896,1.27742166025026,1.43264263367015,1.66425339402982,2.01202142745486,2.54221090588976,3.36942199956567,4.69930690494968,6.91522202828607,10.7608442775664,17.7406483657851,31.0353536709368,57.6869609356372,114.053830975484,240.07939895423,538.457853188248,1287.62026658282,3284.79345814671,8943.80168770119,26002.2203420365,14.5
"Changkuoth","Jiath","Hawthorn","ok",1.15108368882616,1.22134467022953,1.31871615121986,1.45281706582462,1.63731624498697,1.89216205595159,2.24720172699077,2.74816443306803,3.46676194778135,4.51812842043561,6.09164543449688,8.50676121476952,12.3166314062522,18.5055936310245,28.8756240160759,46.8237929280533,78.9514556421833,138.493969583017,252.853881739552,480.665939083308,951.696402055205,14.8
"Blake","Howes","Hawthorn","ok",1.12244060969272,1.17334256852602,1.24165244469809,1.33260552262057,1.45320522684575,1.61302581603141,1.82542973284402,2.10943306433493,2.49260440270232,3.01564250252016,3.73973046046754,4.7585641404451,6.21839270421543,8.35204916098759,11.5378795291939,16.4038654324983,24.0154563803598,36.2217192953514,56.3073879139956,90.2490964996717,149.192100468064,16.1
"Harrison","Petty","Hawthorn","ok",1.66648567682692,1.92943698206887,2.29501462785585,2.80988311102473,3.54707130762073,4.62353838136786,6.231113040043,8.69229964546804,12.5634419886508,18.8303383453648,29.2890189283691,47.3072966394847,79.3909579275773,138.498578370577,251.267265011806,474.247236519944,931.52442694491,1904.71283525417,4055.28386652307,8992.2331748268,20770.9114634061,10.7
"Matthew","Jefferson","Hawthorn","ok",2.08499095213497,2.52176070243458,3.14526414138804,4.05216292135053,5.40040765337018,7.45465925233181,10.6701267047639,15.8513693706543,24.4612495259469,39.2388481255645,65.471065202723,113.687436242386,205.546224208398,387.095948880092,759.61892500729,1553.73828494383,3313.48861585952,7369.28165313829,17095.8735819291,41377.8423363012,104503.208660206,9.3
"Harry","Sharp","Hawthorn","ok",1.18155950113042,1.26376299207699,1.37729890126746,1.53352507382765,1.74879579195085,2.04727615557412,2.46555003760945,3.06031556866839,3.92152100390378,5.19530893505627,7.12505960802679,10.1266418338375,14.9299402941993,22.8521309686932,36.3398950016511,60.0758535111505,103.302557938004,184.851167119053,344.359808738972,668.095773380336,1350.32639421006,14.4
"Harvey","Langford","Hawthorn","ok",1.10859223148993,1.15925122935436,1.22916491125693,1.32467682426648,1.45445657226362,1.63066029451108,1.87075441889943,2.20041669389831,2.6582284168493,3.30341090034554,4.22884600676751,5.58346355841398,7.61159384419446,10.723736011245,15.6268517099826,23.570148536879,36.820479673631,59.6059058661155,100.03882837842,174.143979844129,314.534243999436,15.9
"Koltyn","Tholstrup","Hawthorn","ok",1.03288567554652,1.05153860119381,1.0786246151536,1.11707313708434,1.17065458147591,1.24429760660189,1.34458938795619,1.48055764256182,1.66489060693058,1.91585236373802,2.26032892402989,2.73875572335733,3.41324345213503,4.38125508213665,5.79912067023926,7.92336243902306,11.1849812737015,16.3261491657199,24.6578656699433,38.5578381407909,62.4574841589261,18.8
"Ed","Langdon","Hawthorn","ok",1.00092957553255,1.00221983316692,1.00497185915828,1.01046487619006,1.02075819500047,1.03895446217274,1.0695015060412,1.11861005702917,1.19496074577332,1.31099821233775,1.48529884979833,1.74686081092292,2.14292563861786,2.75355784424205,3.71968821050093,5.29901607480306,7.98175506782304,12.7399740739377,21.58740608518,38.8917029781519,74.5918781544128,21.2
