"player.givenName","player.surname","opponent","predicted_disposals","line","model_odds","pb_odds","ev_pb"
"Lachie","Ash","Waalitj Marawar",28.2,21,1.03835583504468,1.07,0.0304752608762066
"Nick","Daicos","Sydney Swans",29.2,25,1.17422392075938,1.21,0.0304678508145927
"Will","Hayward","Western Bulldogs",15.8,15,1.58308591122977,1.63,0.0296345816973315
"Jack","Ross","Euro-Yroke",25.5,17,1.01986329725242,1.05,0.0295497473325826
"Tim","Taranto","Euro-Yroke",23.3,22,1.25371795986116,1.29,0.0289395552272855
"Rowan","Marshall","Richmond",17.8,17,1.60389001724316,1.65,0.0287488432879553
"Luke","Parker","Kuwarna",24.9,17,1.01098510128161,1.04,0.0286996303720051
"Ed","Langdon","Hawthorn",21.2,14,1.02075819500047,1.05,0.0286471420388839
"Caleb","Daniel","Kuwarna",24.4,19,1.12781008576347,1.16,0.0285419634412437
"Matt","Rowell","Yartapuulti",24.4,24,1.45926306101311,1.5,0.0279161037343107
"Willem","Duursma","GWS GIANTS",19.7,18,1.38152358645505,1.42,0.0278507105649048
"Luke","Jackson","Essendon",19.8,13,1.01185068047931,1.04,0.0278196378811137
"Bradley","Hill","Richmond",24.3,19,1.12873114048206,1.16,0.0277026639883283
"Wayne","Milera","North Melbourne",27.2,17,1.01238851886537,1.04,0.0272736016066018
"Christian","Petracca","Yartapuulti",25.7,19,1.08087810971725,1.11,0.0269428069834543
"Rowan","Marshall","Richmond",17.8,16,1.40229623987034,1.44,0.026887157690123
"Jarman","Impey","Narrm",24,21,1.29531938059548,1.33,0.0267737979714111
"Jack","Crisp","Sydney Swans",23.6,16,1.03257352306842,1.06,0.0265612823870239
"Brayden","Maynard","Sydney Swans",21.1,24,3.31377052342869,3.4,0.0260215594174842
"Tom","Papley","Collingwood",18.1,14,1.15038766067603,1.18,0.025741183025704
"Jacob","Farrow","Walyalup",18.2,13,1.131232313798,1.16,0.0254303964367946
"Isaac","Heeney","Collingwood",27.4,21,1.10199695722447,1.13,0.0254111797604779
"Mattaes","Phillipou","Richmond",16.1,15,1.25822502532496,1.29,0.0252538091640876
"Ben","Ainsworth","Western Bulldogs",17.9,12,1.06318284375575,1.09,0.0252234659369776
"Nick","Daicos","Sydney Swans",29.2,26,1.25928994653899,1.29,0.0243868011059794
"Lachie","Whitfield","Waalitj Marawar",30.2,27,1.18140009248948,1.21,0.0242084859247394
"Shai","Bolton","Essendon",25.7,17,1.01686400785271,1.04,0.0227522972281623
"Brayden","Maynard","Sydney Swans",21.1,14,1.05609544272999,1.08,0.0226348455857532
"Bradley","Hill","Richmond",24.3,18,1.08558480974788,1.11,0.0224903573013289
"Nick","Daicos","Sydney Swans",29.2,21,1.02726333855074,1.05,0.0221332355551004
"Peter","Wright","Walyalup",15.1,14,1.55577284968703,1.59,0.0220000948852214
"Jack","Hutchinson","GWS GIANTS",15.1,14,1.59577726090379,1.63,0.0214458119780597
"Dan","Houston","Sydney Swans",23.6,18,1.08809568637743,1.11,0.0201308707467612
"Jai","Newcombe","Narrm",26.1,20,1.06869970822152,1.09,0.0199310354579632
"James","Peatling","North Melbourne",21.5,17,1.18641296446558,1.21,0.0198809657689849
"Isaac","Heeney","Collingwood",27.4,20,1.06890830490469,1.09,0.0197319966535274
"Dan","Houston","Sydney Swans",23.6,19,1.13760447120803,1.16,0.0196865688899684
"Josh","Battle","Narrm",21.5,18,1.19669907917442,1.22,0.0194709941965149
"Blake","Howes","Hawthorn",16.1,17,2.10943306433493,2.15,0.0192312030900386
"Willem","Duursma","GWS GIANTS",19.7,15,1.08905644922759,1.11,0.019230913867933
